turns,speaker_role,utterance,theme_label,gemma_pred,mistral_pred,utterance_id
t-2/64,Customer,hi Justine. I'm calling because I moved and I need to upd...,update customer address,Update Personal Information,Personal Information Update,Banking_56db621b_100266_2181211-1
t-26/64,Customer,"Actually you know what, I was hoping to get a replacement...",inquire about card security | report/replace/lock lost/compromised card,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_56db621b_100266_2181211-25
t-50/64,Customer,so I was hoping you could tell me what my interest rate i...,check/manage interest rates | inquire about interest rates,Check Account Balance,Check Account Balance,Banking_56db621b_100266_2181211-49
t-54/64,Customer,OK would it be possible to request that that be lowered?,check/manage interest rates | inquire about interest rates,Update Personal Information,Financial Transactions and Bank Services,Banking_56db621b_100266_2181211-53
t-2/56,Customer,Hi Susan. Hey I've gotta update a . Make an update to my ...,update personal info,Update Personal Information,Personal Information Update,Banking_a9736fa6_100286_4145611A1-1
t-33/56,Customer,Been way way more helpful. It's Actually. Can you. Can yo...,check account balance,Check Account Balance,Check Account Balance,Banking_a9736fa6_100286_4145611A1-32
t-4/31,Customer,Yeah I need to know what your ATM withdrawal limits are f...,inquire about limits | perform operations with limits,Find ATM Location,Find ATM Location,Banking_801592de_100488_5544050-3
t-10/31,Customer,OK and it looks like it's from a different bank. is there...,find atm,Find ATM Location,Find ATM Location,Banking_801592de_100488_5544050-9
t-22/31,Customer,"no, it. Wait, is there a local branch nearby? Just in cas...",find branch,Find ATM Location,"
Nearest Branch Location and Hours",Banking_801592de_100488_5544050-21
t-23/65,Agent,"All right, I am pulling you up here. OK, I have located y...",make internal transfer,Internal Funds Transfer,Transfer Funds Between Accounts,Banking_09c4d461_100086_5564251A1-22
t-41/65,Customer,"actually, can you please give me the balances on both acc...",check account balance,Check Account Balance,Check Account Balance,Banking_09c4d461_100086_5564251A1-40
t-2/56,Customer,"Oh, I just moved and I'm wondering about an ATM where I m...",find atm,Find ATM Location,Find ATM Location,Banking_5845cc32_100472_3014893-1
t-6/56,Customer,Mhm. And I assume the one on Main Street has its own ATM ...,get branch info,Find ATM Location,Find ATM Location,Banking_5845cc32_100472_3014893-5
t-10/56,Customer,OK. the other thing I'd like to know is about getting som...,inquire about checks | order/deposit check,Money Transfer/Account Access,Transfer Funds Between Accounts,Banking_5845cc32_100472_3014893-9
t-26/56,Customer,Is there anything else I have to change because I've just...,update customer address,Update Personal Information,Personal Information Update,Banking_5845cc32_100472_3014893-25
t-6/70,Customer,Trying to figure out if my card is lost or stolen.,inquire about card security | report/replace/lock lost/compromised card,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_ef8688aa_100023_2196362-5
t-40/70,Agent,What I can do is go ahead and get that card canceled for ...,inquire about card security | report/replace/lock lost/compromised card,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_ef8688aa_100023_2196362-39
t-53/70,Customer,"Yes, if you don't mind, while I have you on the phone, ca...",check account balance,Check Account Balance,Check Account Balance,Banking_ef8688aa_100023_2196362-52
t-56/70,Agent,"Yes, ma'am. And just to let you know, we also offer onlin...",inquire about online banking | set up/get online banking info,Open New Account,"
Online Banking Setup Requests",Banking_ef8688aa_100023_2196362-55
t-2/65,Customer,"Hi, Susan. Hey I need to make a transfer to a a trade sho...",make internal transfer,Update Personal Information,Wire Transfer Requests,Banking_d55a51f1_100055_4145611A2-1
